GaiaDR3_ID,cluster,subgroup,data_catalog,Prot_source,Prot,mem_prob_hdbscan,mem_prob_source,dr3_parallax_zpt_corrected,dr3_ruwe,G_0,BPRP_0,e_BPRP_0,dustmap,fiducial_age_Myr,cmd_exclude,dered_exclude,phot_exclude
2128104141387273344,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,12.881858,0.48,0.48,0.8873053616640283,1.1075003,16.119510806916054,1.0664273005783662,0.019582732317394328,Edenhofer,1004,0,0,0
2128107714800080384,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,2.202051,1,1,0.8988664070668271,1.0362293,13.772003667431362,0.6095664402904337,0.015440956962863203,Edenhofer,1004,0,0,0
2128108466414347264,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,11.821224,0.454,0.454,0.9583678370504344,0.98156714,16.725867141195184,1.2566470451376581,0.01848877246537502,Edenhofer,1004,0,0,0
2128108573793837568,NGC6811,NGC6811,GodoyRivera2021,Santos2019,12.42302,0.613,0.613,0.8723907583645683,1.0784366,15.688611648965699,1.1743266575701312,0.017441651086169335,Edenhofer,1004,0,0,0
2128108706932566272,NGC6811,NGC6811,GodoyRivera2021,Santos2019,13.318612,0.267,0.267,0.9887059286796752,1.0097293,17.319895145567273,1.7131705802525774,0.02423655067456287,Edenhofer,1004,0,0,0
2128109089189939200,NGC6811,NGC6811,Long2023,Long2023,1.518,0.58,0.58,0.8883541112032295,1.0089883,11.844787226526108,0.29667030302317265,0.014828882822157474,Edenhofer,1004,0,0,0
2128109123549687680,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,3.134465,0.67,0.67,0.9244466560343109,1.0785166,13.923167150167675,0.6414913277430285,0.015061696828843254,Edenhofer,1004,0,0,0
2128111700529585024,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,11.112103,0.704,0.704,0.9024571435641849,0.9739625,16.39793821609101,1.1506910877637362,0.02146644154746815,Edenhofer,1004,0,0,0
2128116540951535744,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,11.472988,0.633,0.633,0.9447239418572515,0.93898135,16.752017888430366,1.2765557400782526,0.01988615749664814,Edenhofer,1004,0,0,0
2128118228880232704,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,17.858092,0.446,0.446,0.8361603497487167,1.0664829,17.203697256830257,1.4269325575043041,0.02360996777163985,Edenhofer,1004,0,0,0
2128118327657867776,NGC6811,NGC6811,Long2023;Curtis2020,Long2023;Curtis2019a,13.179,0.433,0.433,0.8082816445864888,1.0349938,17.485610860017285,1.5587588240648163,0.027965864406602755,Edenhofer,1004,0,0,0
2128118362018931328,NGC6811,NGC6811,Long2023,Long2023,0.664,1,1,0.9228225656323863,0.9622942,13.09672445140585,0.4879442487967249,0.014644365144147261,Edenhofer,1004,0,0,0
2128118572477645824,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,12.213243,0.911,0.911,0.8986848033279439,1.0324904,16.694275439180984,1.2599987207626713,0.017385052529394276,Edenhofer,1004,0,0,0
2128119568910037632,NGC6811,NGC6811,Long2023,Long2023,1.019,0.909,0.909,0.9079508053496298,0.9803319,13.12003511802888,0.5061223686260172,0.015153082789418626,Edenhofer,1004,0,0,0
2128119706349010944,NGC6811,NGC6811,Long2023;Curtis2020,Long2023;Curtis2019a,14.34,0.222,0.222,1.1289717712472038,1.065442,18.252229029808582,1.9062950903814249,0.049140314742879526,Edenhofer,1004,0,0,0
2128119775068504576,NGC6811,NGC6811,Long2023,Long2023,1.528,0.741,0.741,0.8604212768885695,0.99339086,11.725263236408741,0.3190711929490625,0.014715575246384338,Edenhofer,1004,0,0,0
2128120908939932032,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,7.090777,0.958,0.958,0.9186707839706937,0.9650087,14.40809646505945,0.716374802876492,0.015048149167991257,Edenhofer,1004,0,0,0
2128121080738610176,NGC6811,NGC6811,Long2023,Long2023,0.706,0.769,0.769,0.9176299878205952,1.0335561,13.084302202499924,0.49856599618817293,0.014621645303627837,Edenhofer,1004,0,0,0
2128121080738613888,NGC6811,NGC6811,Long2023,Long2023,28.983,0.396,0.396,0.922603892042929,1.3683151,10.947490650761193,1.09169667777487,0.014906528470968019,Edenhofer,1004,1,0,0
